"time","mass.s"
1.806,-0.08649026227336634
1.808,-0.08474931394268297
1.81,-0.08296312513248491
1.812,-0.08113305677905872
1.814,-0.07926049324819166
1.816,-0.07734683846035779
1.818,-0.07539351409732034
1.82,-0.07340196061115618
1.822,-0.07137363654165362
1.824,-0.06931001631025037
1.826,-0.06721258771211257
1.828,-0.06508285446158996
1.83,-0.06292233308757544
1.832,-0.06073255203670769
1.834,-0.05851504961673423
1.836,-0.0562713755978494
1.838,-0.05400308826331526
1.84,-0.05171175360160415
1.842,-0.04939894408967812
1.844,-0.04706623870758259
1.846,-0.04471522100251885
1.848,-0.04234747813422147
1.85,-0.03996459999577336
1.852,-0.03756817828973665
1.854,-0.03515980531064324
1.856,-0.03274107321168793
1.858,-0.03031357257952451
1.86,-0.02787889159552213
1.862,-0.02543861507576335
1.864,-0.02299432418696273
1.866,-0.02054759383091419
1.868,-0.01809999278091464
1.87,-0.0156530827346432
1.872,-0.0132084178472469
1.874,-0.01076754185154842
1.876,-0.008331988608088028
1.878,-0.005903281647739326
1.88,-0.003482932637374079
1.882,-0.001072439250695726
1.884,0.001326714389098386
1.886,0.003713057204811355
1.888,0.00608513488265325
1.89,0.008441509890934142
1.892,0.01078076181424088
1.894,0.01310148560012677
1.896,0.01540229823411496
1.898,0.01768183553008808
1.9,0.01993875335104252
1.902,0.0221717266613014
1.904,0.02437945539642184
1.906,0.02656066134024666
1.908,0.02871408840113219
1.91,0.03083850373444267
1.912,0.0329327016019446
1.914,0.03499550098706093
1.916,0.03702574442389235
1.918,0.03902230236767484
1.92,0.04098407356188599
1.922,0.04290998421587856
1.924,0.04479898479948233
1.926,0.04665005902350013
1.928,0.04846221896691952
1.93,0.05023450613115307
1.932,0.05196598893151418
1.934,0.05365577102175398
1.936,0.05530298598268931
1.938,0.0569067976306462
1.94,0.058466400044993
1.942,0.05998102311465274
1.944,0.06144992837259325
1.946,0.0628724076424151
1.948,0.06424778677847083
1.95,0.0655754270282167
1.952,0.0668547228186297
1.954,0.06808509822741356
1.956,0.06926601561698834
1.958,0.07039697125567633
1.96,0.07147749545946458
1.962,0.07250714887167187
1.964,0.07348553217105835
1.966,0.0744122793483632
1.968,0.07528705812187052
1.97,0.07610956866881405
1.972,0.07687955026678317
1.974,0.0775967759081881
1.976,0.07826104973060334
1.978,0.07887221044434127
1.98,0.07943013481792235
1.982,0.07993473265461813
1.984,0.08038594838779715
1.986,0.08078376109588588
1.988,0.08112818451732995
1.99,0.08141926649631685
1.992,0.08165708046503806
1.994,0.08184174709754906
1.996,0.08197341638320683
1.998,0.08205227257721522
2,0.08207853417842127
2.002,0.08205245390711181
2.004,0.08197430383179556
2.006,0.08184436210873733
2.008,0.08166299852849601
2.01,0.08143058951402644
2.012,0.08114754351858956
2.014,0.08081430086006559
2.016,0.08043128421347259
2.018,0.07999900494597299
2.02,0.07951798816435873
2.022,0.07898878495370332
2.024,0.07841197509184764
2.026,0.07778815150784531
2.028,0.07711793584056267
2.03,0.07640199295064055
2.032,0.07564100491851863
2.034,0.07483567936263141
2.036,0.07398674898174681
2.038,0.07309497098953724
2.04,0.07216112707923862
2.042,0.07118602266093542
2.044,0.07017048652272115
2.046,0.06911537040013113
2.048,0.06802153085237275
2.05,0.0668898614309755
2.052,0.06572127677622203
2.054,0.06451670834540622
2.056,0.06327710704220425
2.058,0.06200343122177479
2.06,0.06069664843311016
2.062,0.0593577669572504
2.064,0.05798779993438152
2.066,0.05658777545575737
2.068,0.05515873547910253
2.07,0.05370172279350281
2.072,0.05221780920577605
2.074,0.05070807202832511
2.076,0.04917359944846195
2.078,0.04761548980153715
2.08,0.04603485357602978
2.082,0.04443280860493309
2.084,0.04281047959838383
2.086,0.04116899967437466
2.088,0.03950950872104399
2.09,0.03783315256531005
2.092,0.03614108210503909
2.094,0.03443445335825963
2.096,0.03271442605390357
2.098,0.03098216312269236
2.1,0.02923882998710785
2.102,0.02748558397511485
2.104,0.02572359425886437
2.106,0.02395402701141889
2.108,0.02217804685401124
2.11,0.02039681671964864
2.112,0.0186114946703311
2.114,0.01682323553228734
2.116,0.01503319266635914
2.118,0.01324251305433333
