"time","mass.s"
0.804,-0.3078014232833981
0.807,-0.2988687371724361
0.81,-0.289575489367598
0.813,-0.2799376639826217
0.816,-0.2699716185120614
0.819,-0.2596940475125655
0.822,-0.2491219797557962
0.825,-0.2382727264289033
0.828,-0.2271638717359905
0.831,-0.2158132404943493
0.834,-0.2042388636375141
0.837,-0.1924589649848331
0.84,-0.1804919204738134
0.843,-0.1683562385467964
0.846,-0.156070531150604
0.849,-0.1436534834840022
0.852,-0.1311238305869656
0.855,-0.1185003283611004
0.858,-0.1058017260505089
0.861,-0.09304673994772367
0.864,-0.0802540295251858
0.867,-0.06744216443920466
0.87,-0.05462960764790611
0.873,-0.04183468243614071
0.876,-0.02907554814769082
0.879,-0.01637018444981336
0.882,-0.003736349723231387
0.885,0.008808423844264255
0.888,0.02124686622876582
0.891,0.03356199240319731
0.894,0.04573710866313681
0.897,0.05775586153650207
0.9,0.06960223123771569
0.903,0.08126056828364032
0.906,0.0927156153385375
0.909,0.1039525033799305
0.912,0.1149568063001116
0.915,0.1257145237908929
0.918,0.1362121164667039
0.921,0.1464365269853516
0.924,0.1563751658543856
0.927,0.16601596988592
0.93,0.1753473757019385
0.933,0.1843583515245796
0.936,0.1930384176332742
0.939,0.2013776221585621
0.942,0.2093666013944268
0.945,0.2169965453614312
0.948,0.2242592247855321
0.951,0.2311470107468834
0.954,0.237652841323125
0.957,0.2437702816864255
0.96,0.2494934833442287
0.963,0.2548172052302308
0.966,0.2597368322095952
0.969,0.2642483338931736
0.972,0.2683483224529245
0.975,0.2720340072754087
0.978,0.2753032095092917
0.981,0.2781543789306029
0.984,0.280586546632804
0.987,0.2825993785835628
0.99,0.2841931274745804
0.993,0.2853686404875355
0.996,0.2861273739032071
0.999,0.286471341664043
1.002,0.2864031628630759
1.005,0.2859260125577946
1.008,0.2850436229110663
1.011,0.2837602948579974
1.014,0.2820808447270108
1.017,0.280010644090249
1.02,0.2775555712337328
1.023,0.2747220061843238
1.026,0.2715168387330814
1.029,0.2679474153824957
1.032,0.2640215702862853
1.035,0.2597475789395597
1.038,0.2551341479033093
1.041,0.2501904185240438
1.044,0.2449259164486629
1.047,0.2393505727269688
1.05,0.2334746811119332
1.053,0.2273088835291157
1.056,0.2208641689272675
1.059,0.214151827473314
1.062,0.2071834612681872
1.065,0.1999709464376765
1.068,0.1925264155588769
1.071,0.184862251219771
1.074,0.1769910467843463
1.077,0.1689256065655547
1.08,0.160678913651229
1.083,0.1522641105903689
1.086,0.1436944874011664
1.089,0.1349834506035597
1.092,0.1261445128662408
1.095,0.1171912674793647
1.098,0.1081373685111192
1.101,0.09899651330694194
1.104,0.08978242077940184
1.107,0.08050881160473135
1.11,0.07118938931287971
1.113,0.06183782141436493
1.116,0.05246771666235188
1.119,0.04309261284580695
1.122,0.03372594962105509
1.125,0.02438105526857983
1.128,0.01507113050912435
1.131,0.005809220950075101
1.134,-0.003391785713254742
1.137,-0.01251919203660833
1.14,-0.02156049940701772
1.143,-0.03050342008017462
1.146,-0.03933590890667648
1.149,-0.04804615713661555
1.152,-0.05662262773628897
1.155,-0.06505406028843651
1.158,-0.07332947775607163
1.161,-0.08143822153545675
1.164,-0.0893699369671145
1.167,-0.09711460953929996
1.17,-0.1046625670088042
1.173,-0.1120044801411887
1.176,-0.1191314000716434
