"time","transferFunction.y","mass.s"
5.52,0.9289766296335991,0.92897662963362
5.53,0.9294307191384009,0.9294307191384215
5.54,0.930046777085263,0.9300467770852829
5.55,0.930811106024279,0.9308111060242984
5.56,0.9317080190920021,0.9317080190920204
5.57,0.9327201354814155,0.9327201354814325
5.58,0.9338286890717417,0.9338286890717571
5.59,0.9350138588386042,0.9350138588386179
5.6,0.9362551090381284,0.9362551090381401
5.61,0.937531528764332,0.9375315287643415
5.62,0.9388221696969915,0.9388221696969992
5.63,0.9401063772139577,0.940106377213963
5.64,0.9413641078110742,0.9413641078110772
5.65,0.9425762295257621,0.9425762295257629
5.66,0.943724800090988,0.9437248000909866
5.67,0.9447933200197591,0.9447933200197556
5.68,0.9457669566609174,0.9457669566609118
5.69,0.9466327359030161,0.9466327359030087
5.7,0.9473797011597654,0.9473797011597561
5.71,0.9479990349230263,0.9479990349230157
5.72,0.9484841457890757,0.9484841457890639
5.73,0.9488307111968737,0.9488307111968608
5.74,0.9490366923125085,0.9490366923124949
5.75,0.949102341339648,0.9491023413396336
5.76,0.9490300922549924,0.9490300922549777
5.77,0.9488244738943431,0.9488244738943286
5.78,0.9484920187639343,0.94849201876392
5.79,0.9480410802270206,0.9480410802270069
5.8,0.9474816825878861,0.9474816825878729
5.81,0.9468253051821349,0.9468253051821224
5.82,0.9460846664536927,0.9460846664536811
5.83,0.9452734980104077,0.9452734980103976
5.84,0.9444063026263306,0.9444063026263216
5.85,0.9434981055836367,0.9434981055836292
5.86,0.9425642062156363,0.9425642062156304
5.87,0.9416199307386922,0.9416199307386879
5.88,0.9406803900470683,0.9406803900470655
5.89,0.9397602474934593,0.9397602474934585
5.9,0.9388734991094203,0.9388734991094211
5.91,0.9380332702776935,0.9380332702776956
5.92,0.9372516301924045,0.9372516301924085
5.93,0.9365394286473101,0.9365394286473152
5.94,0.9359061549946164,0.9359061549946227
5.95,0.9353598227426142,0.9353598227426216
5.96,0.9349068798643778,0.9349068798643863
5.97,0.9345521459713253,0.9345521459713347
5.98,0.9342987815138093,0.9342987815138191
5.99,0.9341482729999614,0.9341482729999718
6,0.9341004337711197,0.9341004337711306
6.01,0.9341534762391611,0.9341534762391718
6.02,0.9343040919926783,0.934304091992689
6.03,0.9345474937367173,0.9345474937367277
6.04,0.9348775674559341,0.9348775674559444
6.05,0.9352869783316586,0.935286978331668
6.06,0.9357673198194217,0.9357673198194296
6.07,0.9363092997356255,0.9363092997356316
6.08,0.9369028626658961,0.9369028626659004
6.09,0.9375373950442449,0.9375373950442477
6.1,0.9382019059252992,0.9382019059253004
6.11,0.93888519332484,0.9388851933248339
6.12,0.9395760561147024,0.9395760561146892
6.13,0.940263438398188,0.9402634383981712
6.14,0.9409366068883883,0.9409366068883669
6.15,0.9415853256049623,0.9415853256049371
6.16,0.9421999963312491,0.9421999963312346
6.17,0.9427717818401447,0.9427717818401355
6.18,0.9432927486471041,0.9432927486470952
6.19,0.9437559583722491,0.9437559583722429
6.2,0.9441555469930037,0.9441555469929854
6.21,0.9444868031056324,0.944486803105608
6.22,0.9447462017882819,0.9447462017882584
6.23,0.9449314359178806,0.9449314359178629
6.24,0.9450414218647806,0.9450414218647655
6.25,0.9450762874289917,0.9450762874289774
6.26,0.9450373395679873,0.945037339567975
6.27,0.9449270131321931,0.9449270131321831
6.28,0.9447488061833383,0.9447488061833303
6.29,0.9445071980424167,0.9445071980424112
6.3,0.9442075541349316,0.9442075541349284
6.31,0.9438560209821845,0.9438560209821832
6.32,0.9434594110869168,0.9434594110869181
6.33,0.9430250773281968,0.943025077328201
6.34,0.9425607845748233,0.9425607845748303
6.35,0.9420745753166085,0.9420745753166182
6.36,0.9415746390250727,0.941574639025084
6.37,0.9410691793061312,0.9410691793061435
6.38,0.9405662847046133,0.9405662847046264
6.39,0.940073803154322,0.9400738031543362
6.4,0.9395992248546321,0.9395992248546472
6.41,0.9391495738464636,0.9391495738464809
6.42,0.938731307211913,0.9387313072119303
6.43,0.9383502312296667,0.9383502312296869
6.44,0.9380114198663696,0.9380114198663864
6.45,0.9377191604377011,0.9377191604377129
6.46,0.937476902613868,0.9374769026138748
6.47,0.9372872235675838,0.9372872235675872
6.48,0.9371518072232337,0.9371518072232359
6.49,0.9370714449637466,0.9370714449637464
6.5,0.9370460390070436,0.9370460390070421
6.51,0.9370746328700243,0.937074632870021
6.52,0.9371554441418551,0.9371554441418496
6.53,0.9372859129966749,0.9372859129966672
6.54,0.9374627615058183,0.9374627615058089
6.55,0.9376820609007505,0.9376820609007407
6.56,0.9379393141567464,0.9379393141567359
6.57,0.9382295369783072,0.9382295369782968
6.58,0.9385473503942322,0.9385473503942218
6.59,0.9388870733338135,0.9388870733338045
6.6,0.9392428202736466,0.9392428202736396
6.61,0.9396085991329042,0.9396085991328987
6.62,0.9399784079334278,0.9399784079334245
6.63,0.9403463297310846,0.9403463297310829
6.64,0.9407066236985855,0.9407066236985868
6.65,0.9410538111258938,0.9410538111259013
6.66,0.9413827519624296,0.9413827519624427
6.67,0.9416887208655861,0.9416887208656024
6.68,0.9419674730825547,0.9419674730825727
6.69,0.9422152984884644,0.9422152984884866
6.7,0.9424290622462317,0.9424290622462609
6.71,0.9426062375903835,0.9426062375904178
6.72,0.9427449406231503,0.9427449406231891
6.73,0.9428439415794906,0.9428439415795343
6.74,0.9429026653685145,0.9429026653685635
6.75,0.9429211799336127,0.9429211799336645
6.76,0.942900186241755,0.9429001862418084
6.77,0.9428409916437878,0.9428409916438421
6.78,0.9427454701499912,0.942745470150045
6.79,0.9426160206437776,0.94261602064383
6.8,0.9424555173585236,0.9424555173585738
6.81,0.942267252176876,0.9422672521769233
6.82,0.9420548732260521,0.9420548732260957
6.83,0.9418223175051907,0.9418223175052328
6.84,0.941573737558694,0.9415737375587291
6.85,0.9413134511050617,0.9413134511051057
6.86,0.9410458272964993,0.9410458272965415
6.87,0.9407752587004178,0.9407752587004499
6.88,0.940506080798601,0.9405060807986262
6.89,0.9402424951989774,0.9402424951990016
6.9,0.9399885057055167,0.939988505705537
6.91,0.9397478684447395,0.939747868444749
6.92,0.9395240431313315,0.93952404313133
6.93,0.9393201377398323,0.9393201377398233
6.94,0.9391388677846149,0.939138867784602
6.95,0.9389825237256287,0.9389825237256099
6.96,0.9388529500043562,0.9388529500043309
6.97,0.9387515237825822,0.9387515237825501
6.98,0.9386791464656606,0.9386791464656231
6.99,0.9386362395827067,0.9386362395826657
7,0.9386227491637336,0.9386227491636879
7.01,0.9386381600942757,0.9386381600942255
