"time","transferFunction.y"
2.328,-7.121500098545606
2.34,-7.089914473329638
2.352,-7.057300735420538
2.364,-7.023663460375904
2.376,-6.989007409701726
2.388,-6.953337499595344
2.4,-6.916658796044189
2.412,-6.878976518488128
2.424,-6.840296051955471
2.436,-6.800622929049697
2.448,-6.759962824519883
2.46,-6.718321569154975
2.472,-6.675705143337669
2.484,-6.632119656217559
2.496,-6.587571347595715
2.508,-6.542066643487162
2.52,-6.495612093968316
2.532,-6.448214390388519
2.544,-6.399880372215674
2.556,-6.350617050691371
2.568,-6.30043152729189
2.58,-6.249331061696147
2.592,-6.197323051634035
2.604,-6.144415030829408
2.616,-6.090614581460195
2.628,-6.035929526795148
2.64,-5.980367779674962
2.652,-5.923937380767538
2.664,-5.866646497147681
2.676,-5.808503486709176
2.688,-5.749516774053079
2.7,-5.689694911938892
2.712,-5.629046588841547
2.724,-5.567580617878781
2.736,-5.505305860868988
2.748,-5.442231322784901
2.76,-5.378366176880805
2.772,-5.3137196776759
2.784,-5.24830119071633
2.796,-5.182120231728456
2.808,-5.115186459873053
2.82,-5.047509558270933
2.832,-4.979099359363047
2.844,-4.909965805572873
2.856,-4.840118931828604
2.868,-4.769568812876313
2.88,-4.698325727473174
2.892,-4.62640001507296
2.904,-4.553802113580195
2.916,-4.480542558047579
2.928,-4.406632005226383
2.94,-4.33208117365961
2.952,-4.256900887405616
2.964,-4.181102062649536
2.976,-4.104695706250884
2.988,-4.027692853801432
3,-3.950104680607853
3.012,-3.871942443133582
3.024,-3.793217468782523
3.036,-3.7139411634504
3.048,-3.634125061284267
3.06,-3.553780757574644
3.072,-3.472919887947683
3.084,-3.39155418651162
3.096,-3.309695462642962
3.108,-3.227355558086088
3.12,-3.144546349958729
3.132,-3.061279870941902
3.144,-2.977568177349536
3.156,-2.893423386420105
3.168,-2.808857696474831
3.18,-2.723883456178489
3.192,-2.638512935951936
3.204,-2.55275852070183
3.216,-2.466632654708005
3.228,-2.380147838809652
3.24,-2.293316460257067
3.252,-2.206151167445248
3.264,-2.118664576789611
3.276,-2.030869347465029
3.288,-1.942778179289011
3.3,-1.854403863690383
3.312,-1.765759183184346
3.324,-1.676856958786093
3.336,-1.587710056039698
3.348,-1.498331374880837
3.36,-1.408733846968048
3.372,-1.31893043499975
3.384,-1.228934131266105
3.396,-1.13875795482409
3.408,-1.048414950076906
3.42,-0.9579181871613421
3.432,-0.8672807599626612
3.444,-0.7765157778332054
3.456,-0.6856363707329223
3.468,-0.5946556853809334
3.48,-0.5035868834898285
3.492,-0.4124431399999463
3.504,-0.3212376413136674
3.516,-0.2299835835296911
3.528,-0.1386941706773339
3.54,-0.04738261189537311
3.552,0.0439380050147669
3.564,0.1352543994981374
3.576,0.2265533699413957
3.588,0.3178217179191541
3.6,0.4090462500978781
3.612,0.5002137801397855
3.624,0.5913111404388953
3.636,0.6823252007395094
3.648,0.7732427910646897
3.66,0.8640507799499403
3.672,0.9547360535252366
3.684,1.045285517482351
3.696,1.135686099042168
3.708,1.225924721158111
3.72,1.315988330069821
3.732,1.405863941846482
3.744,1.495538577587108
3.756,1.584999288114055
3.768,1.674233155844591
3.78,1.763227296662433
3.792,1.85196885812139
3.804,1.940445028033923
3.816,2.028643034108593
3.828,2.116550143732146
3.84,2.204153666965034
3.852,2.291440958404095
3.864,2.378399419045242
3.876,2.465016485859956
3.888,2.55127966184379
3.9,2.637176496581794
3.912,2.72269459254026
3.924,2.807821607507905
3.936,2.892545256434885
3.948,2.97685331229225
3.96,3.060733603817888
3.972,3.144174030786118
3.984,3.227162553824852
3.996,3.309687199713947
4.008,3.391736063211182
4.02,3.473297308878251
4.032,3.554359162913449
4.044,3.634909918713161
4.056,3.714937967217645
4.068,3.794431764807576
4.08,3.873379845961517
4.092,3.951770825029386
4.104,4.029593398006055
4.116,4.106836323525424
4.128,4.183488457887995
4.14,4.259538755289994
4.152,4.33497624883853
4.164,4.409790061108237
4.176,4.483969405850227
4.188,4.557503589700957
4.2,4.63038197675273
4.212,4.702594070966954
4.224,4.774129464266963
4.236,4.844977842810453
4.248,4.915128992887061
4.26,4.98457280254811
4.272,5.053299259851881
4.284,5.121298420694822
4.296,5.188560503711743
4.308,5.255075812056015
4.32,5.320834757542835
4.332,5.385827862199084
4.344,5.450045759813265
4.356,5.513479183867617
4.368,5.576118964213245
4.38,5.637956091258637
4.392,5.698981651838573
4.404,5.759186850886825
4.416,5.818563012897083
4.428,5.877101583383826
4.44,5.934794102770708
4.452,5.991632244428954
4.464,6.047607832117981
4.476,6.102712799142021
4.488,6.156939205539748
4.5,6.21027923944632
4.512,6.262725218455484
4.524,6.314269544062721
4.536,6.364904798288306
4.548,6.414623693326031
4.56,6.463419065537049
4.572,6.511283885733493
4.584,6.558211260429213
4.596,6.604194431780502
4.608,6.649226715584095
4.62,6.6933016582379
4.632,6.736412909312691
4.644,6.778554258466518
4.656,6.819719636575391
4.668,6.859903116863992
4.68,6.8990989011892
4.692,6.937301298922374
4.704,6.974504836763385
4.716,7.01070415523238
4.728,7.045894040847062
4.74,7.080069427126448
4.752,7.113225395594652
4.764,7.145357145284541
4.776,7.176460024381917
4.788,7.206529576101363
4.8,7.235561469577261
