"time","Z","Y"
3.15,0.4552272381938345,1.44433092622074
3.16,0.4549088819427769,1.444334225125947
3.17,0.4546005411519872,1.444337421718164
3.18,0.4543022483192721,1.444340518844176
3.19,0.4540140349292999,1.444343519227723
3.2,0.4537359314535991,1.4443464254695
3.21,0.4534679673505594,1.444349240047151
3.22,0.4532101710654313,1.444351965315277
3.23,0.4529625700303257,1.444354603505427
3.24,0.452725190664215,1.444357156726107
3.25,0.4524980583729317,1.444359626962773
3.26,0.4522811975491696,1.444362016077837
3.27,0.4520746315724832,1.444364325810661
3.28,0.451878374848912,1.444366569721688
3.29,0.4516924380169455,1.444368765381168
3.3,0.4515168533189318,1.444370896300673
3.31,0.4513516393185681,1.444372964872669
3.32,0.451196813531993,1.444374973418223
3.33,0.4510523924277857,1.444376924186997
3.34,0.4509183914269664,1.44437881935725
3.35,0.4507948249029966,1.444380661035842
3.36,0.4506817061817785,1.444382451258228
3.37,0.4505790475416553,1.444384191988465
3.38,0.4504868602134112,1.444385885119203
3.39,0.4504051543802715,1.444387532471695
3.4,0.4503339391779022,1.444389135795787
3.41,0.4502732226944107,1.444390696769928
3.42,0.4502230033269278,1.444392215347208
3.43,0.4501832910396508,1.444393693823177
3.44,0.4501540922507523,1.444395133943891
3.45,0.4501354105078118,1.444396537035159
3.46,0.4501272482953699,1.444397904348424
3.47,0.4501296070349281,1.444399237060769
3.48,0.4501424870849488,1.444400536274908
3.49,0.4501658877408551,1.444401803019195
3.5,0.4501998072350314,1.444403038247617
3.51,0.450244242736823,1.444404242839798
3.52,0.4502991903525357,1.444405417600998
3.53,0.4503646451254367,1.444406563262112
3.54,0.4504406010357539,1.444407680479671
3.55,0.4505270510368038,1.444408769539749
3.56,0.4506239870740039,1.444409830202138
3.57,0.4507313998531738,1.444410863599304
3.58,0.45084927910716,1.444411870051189
3.59,0.4509776135059859,1.444412849801598
3.6,0.4511163906568521,1.444413803018203
3.61,0.4512655971041366,1.444414729792535
3.62,0.4514252183293941,1.444415630139992
3.63,0.451595238751357,1.444416503999834
3.64,0.4517756417259345,1.444417351235184
3.65,0.451966409546213,1.444418171633032
3.66,0.4521675234424563,1.444418964904228
3.67,0.4523789635821049,1.444419730683487
3.68,0.4526007090697771,1.444420468529386
3.69,0.4528327435080939,1.444421201163386
3.7,0.453075042375757,1.444421921722074
3.71,0.4533275798670554,1.444422622339863
3.72,0.4535903310929087,1.444423303347283
3.73,0.4538632701128458,1.444423965046501
3.74,0.454146369935004,1.444424607711322
3.75,0.4544396025161297,1.444425231587188
3.76,0.4547429387615778,1.444425836891177
3.77,0.4550563485253126,1.444426423812005
3.78,0.4553798006099063,1.444426992510025
3.79,0.4557132627665407,1.444427543117226
3.8,0.456056701695006,1.444428075737236
3.81,0.4564100830437011,1.44442859044532
3.82,0.4567733714096343,1.444429087288377
3.83,0.4571465303384221,1.444429566284948
3.84,0.4575295223242898,1.444430027425206
3.85,0.4579223121262661,1.444430473506945
3.86,0.4583248771950976,1.444430919052582
3.87,0.4587371618618721,1.444431351131669
3.88,0.4591591249613817,1.444431770087977
3.89,0.459590724299563,1.444432176256184
3.9,0.460031916653496,1.444432569961881
3.91,0.4604826577714053,1.444432951521565
3.92,0.4609429023726594,1.444433321242643
3.93,0.4614126041477709,1.444433679423431
3.94,0.4618917157583963,1.444434026353155
3.95,0.4623801888373364,1.444434362311948
3.96,0.4628779739885359,1.444434687570854
3.97,0.4633850207870837,1.444435002391825
3.98,0.4639012777792126,1.444435307027722
3.99,0.4644266924822997,1.444435601722317
4,0.464961211384866,1.444435886710288
4.01,0.4655047799465765,1.444436162217223
4.02,0.4660573761594596,1.44443642911302
4.03,0.4666189416202435,1.444436687569938
4.04,0.4671894004801292,1.444436937431534
4.05,0.4677686953545331,1.444437178911781
4.06,0.468356767878563,1.444437412216507
4.07,0.4689535587070175,1.444437637543394
4.08,0.4695590075143862,1.444437855081976
4.09,0.4701730529948496,1.444438065013644
4.1,0.4707956328622795,1.444438267511642
4.11,0.4714266838502386,1.444438462741069
4.12,0.4720661417119804,1.444438650858876
4.13,0.4727139412204495,1.444438832013872
4.14,0.4733700161682816,1.444439006346717
4.15,0.4740342993678034,1.444439173989926
4.16,0.4747067226510326,1.444439335067868
4.17,0.4753872168696777,1.444439489696768
4.18,0.4760757162873753,1.444439638232469
4.19,0.4767722315378971,1.444439785386009
4.2,0.4774766240884361,1.44443992750109
4.21,0.4781888227384302,1.444440064766781
4.22,0.4789087553778469,1.444440197368002
4.23,0.4796363489871845,1.444440325485522
4.24,0.4803715296374714,1.44444044929596
4.25,0.4811142224902663,1.444440568971786
4.26,0.4818643517976582,1.444440684681322
4.27,0.4826218409022667,1.444440796588736
4.28,0.4833866122372414,1.44444090485405
4.29,0.4841585873262622,1.444441009633134
4.3,0.4849376867835397,1.44444111107771
4.31,0.4857238303138143,1.444441209335349
4.32,0.4865169367123572,1.444441304549473
4.33,0.4873169238649696,1.444441396859354
4.34,0.488123708747983,1.444441486400114
4.35,0.4889372778751545,1.444441573009073
4.36,0.4897575694766618,1.444441656716877
4.37,0.4905844382263206,1.444441737894528
4.38,0.4914178006069628,1.444441816647443
4.39,0.4922575723091431,1.4444418930764
4.4,0.4931036682311409,1.444441967277539
4.41,0.493956002478959,1.444442039342361
4.42,0.4948144883663245,1.444442109357728
4.43,0.4956790384146885,1.444442177405867
4.44,0.4965495643532258,1.444442243564363
4.45,0.4974259771188353,1.444442307906165
4.46,0.4983081868561397,1.444442370499583
4.47,0.499196102917486,1.44444243140829
4.48,0.5000896338629446,1.444442490691318
4.49,0.5009886874603102,1.444442548403063
4.5,0.5018932449492416,1.444442604503178
4.51,0.5028032105397818,1.444442659039177
4.52,0.5037184495155319,1.444442712100201
4.53,0.5046388696112799,1.444442763718288
4.54,0.5055643778916025,1.44444281392069
4.55,0.5064948807508657,1.44444286272987
4.56,0.5074302839132262,1.444442910163508
4.57,0.5083704924326293,1.444442956234494
4.58,0.5093154106928095,1.444443000950935
4.59,0.5102649424072919,1.44444304431615
4.6,0.5112189906193902,1.444443086328672
4.61,0.5121774577022082,1.444443126982248
4.62,0.5131402453586388,1.444443166265837
4.63,0.5141072736180855,1.444443204423215
4.64,0.515078516961301,1.444443242446641
4.65,0.5160538103496527,1.44444327942613
4.66,0.5170330558971401,1.444443315373749
4.67,0.5180161551800302,1.444443350298591
4.68,0.519003009236857,1.444443384206772
4.69,0.5199935185684212,1.444443417101432
4.7,0.5209875831377908,1.444443448982734
4.71,0.5219851023703004,1.444443479847869
4.72,0.5229859751535516,1.444443509691048
4.73,0.5239900998374136,1.444443538503507
4.74,0.5249973742340218,1.444443566273507
4.75,0.5260076956177792,1.444443592986332
4.76,0.5270209607253552,1.44444361862429
4.77,0.5280371229074525,1.444443644188646
4.78,0.5290560534461651,1.444443669219832
4.79,0.5300776364012114,1.444443693493398
4.8,0.5311017687338542,1.444443717022226
4.81,0.5321283469719348,1.444443739818084
4.82,0.5331572672098748,1.444443761891636
4.83,0.5341884251086739,1.444443783252428
4.84,0.5352217158959118,1.4444438039089
4.85,0.5362570343657475,1.444443823868378
4.86,0.5372942748789189,1.44444384313708
4.87,0.5383333313627435,1.444443861720112
4.88,0.539374097311118,1.444443879621468
4.89,0.540416465784518,1.444443896844034
4.9,0.5414603640904597,1.444443913571922
4.91,0.5425057233600836,1.444443930010517
4.92,0.5435523894462518,1.444443945918005
4.93,0.5446002568235239,1.444443961309376
4.94,0.5456492196761636,1.444443976199264
4.95,0.5466991718981383,1.444443990601945
4.96,0.5477500070931189,1.444444004531333
4.97,0.5488016185744805,1.444444018000989
4.98,0.5498538993653009,1.444444031024112
4.99,0.5509067421983629,1.444444043613544
5,0.5519600395161518,1.444444055781769
5.01,0.5530136834708577,1.444444067540913
5.02,0.5540675659243733,1.444444078902741
5.03,0.5551215784482959,1.444444089878664
5.04,0.556175709666396,1.444444100548917
5.05,0.5572297824024831,1.444444110875743
5.06,0.5582836882570346,1.444444120870116
5.07,0.5593373209295436,1.444444130544349
5.08,0.5603905739748334,1.444444139910501
5.09,0.5614433408030587,1.444444148980377
5.1,0.5624955146797043,1.444444157765525
5.11,0.5635469887255861,1.44444416627724
5.12,0.5645976559168501,1.444444174526562
5.13,0.5656474090849731,1.444444182524276
5.14,0.5666961409167628,1.444444190280912
5.15,0.5677437439543574,1.444444197806745
5.16,0.5687901105952254,1.444444205111797
5.17,0.5698351862167811,1.44444421217995
5.18,0.5708788706616948,1.444444219016946
5.19,0.5719210235141048,1.444444225647817
5.2,0.5729615397892539,1.444444232080009
5.21,0.5740003145018423,1.444444238320641
5.22,0.5750372426660271,1.444444244376507
